outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,sample_size,uni_p_threshold
ICU Stay in 28 Days,const,-2.7629927926137654,-35.77975502744726,30.253769442219728,0.8445226052169377,linear,23,0.2
ICU Stay in 28 Days,OXA48,-2.692162057333549,-10.788644413916874,5.404320299249775,0.4469387363473096,linear,23,0.2
ICU Stay in 28 Days,IAI.CRO,1.5814866301066783,-5.675770210142225,8.838743470355581,0.6130407396586375,linear,23,0.2
ICU Stay in 28 Days,Surgery in last 3 Months,2.372232622653228,-7.378293893236886,12.12275913854334,0.5733847720748713,linear,23,0.2
ICU Stay in 28 Days,Past CREPA infection,-0.3649457362428117,-11.340487190415613,10.610595717929991,0.9378003743011897,linear,23,0.2
ICU Stay in 28 Days,Immunosuppressive drugs in 1 week,9.648764215049608,-7.9707016247443985,27.268230054843613,0.2287670874534814,linear,23,0.2
ICU Stay in 28 Days,Ventilation,-7.429166396088217,-25.073319271201694,10.21498647902526,0.342605771495892,linear,23,0.2
ICU Stay in 28 Days,Any Fungal Infection,10.377411648944674,-6.136943798062182,26.89176709595153,0.17506011483619638,linear,23,0.2
ICU Stay in 28 Days,SGPT,-3.1106062985135416,-12.123273562042808,5.902060965015725,0.4307585704627236,linear,23,0.2
ICU Stay in 28 Days,Globulin,5.421391313417644,-4.74972150302874,15.592504129864027,0.2399439276045258,linear,23,0.2
ICU Stay in 28 Days,P/C+Z-A.E,-3.9048373815424693,-23.170655940991892,15.360981177906952,0.6375735293866555,linear,23,0.2
ICU Stay in 28 Days,Neither Abx.E,-2.3893584332426854,-7.1523086720168045,2.3735918055314342,0.26560337595792144,linear,23,0.2
ICU Stay in 28 Days,Neither Abx.T,-2.389358433242707,-7.152308672016845,2.373591805531431,0.2656033759579192,linear,23,0.2
ICU Stay in 28 Days,Chloramphenicol,0.20059001045713076,-5.014468524721007,5.415648545635268,0.9280804594344332,linear,23,0.2
ICU Stay in 28 Days,Colistin,-1.0502557579226863,-9.754520681101262,7.654009165255889,0.7777576380664032,linear,23,0.2
ICU Stay in 28 Days,Polymyxin/Colistin Inclusion.T,-2.95389435050965,-11.74561295264365,5.837824251624351,0.4424414818392771,linear,23,0.2
ICU Stay in 28 Days,Clinical Improvement,0.5866309469862772,-4.984201815837778,6.157463709810333,0.8052716159564499,linear,23,0.2
ICU Stay in 28 Days,Total Hospital stay in 28 days,0.7364197056838648,-0.23846561266283361,1.7113050240305632,0.11404662144163977,linear,23,0.2
GW Stay in 28 Days,const,5.225260953787965,-24.177758337562864,34.6282802451388,0.6788795824839118,linear,23,0.2
GW Stay in 28 Days,Age,-0.04349887705782819,-0.2461105869854452,0.15911283286978883,0.6181929963529118,linear,23,0.2
GW Stay in 28 Days,UTI.CRO,-0.3145612946807552,-10.578404881721855,9.949282292360344,0.9426590788358536,linear,23,0.2
GW Stay in 28 Days,Other.CRO,10.170896077298023,-21.96261818666715,42.3044103412632,0.46804951458364086,linear,23,0.2
GW Stay in 28 Days,Past CREPA infection,-2.1206236553410927,-14.879426943630197,10.638179632948013,0.6983394875279808,linear,23,0.2
GW Stay in 28 Days,Immunosuppressive drugs in 1 week,-1.717764078122576,-10.328146525302907,6.892618369057756,0.6427644643082729,linear,23,0.2
GW Stay in 28 Days,Any Fungal Infection,-4.498390434088083,-17.19562078438772,8.198839916211554,0.41931251668193376,linear,23,0.2
GW Stay in 28 Days,Lympho,2.4384912087965267,-14.960713281570296,19.83769569916335,0.7433440005583644,linear,23,0.2
GW Stay in 28 Days,Platelet,0.9566876743632395,-7.992641333175568,9.906016681902047,0.8023959998977904,linear,23,0.2
GW Stay in 28 Days,Potassium,0.9558397664127796,-12.08484102175699,13.996520554582549,0.8635657011037366,linear,23,0.2
GW Stay in 28 Days,Neither Abx.E,1.544739396033607,-5.022742227255867,8.11222101932308,0.5858484804945705,linear,23,0.2
GW Stay in 28 Days,Neither Abx.T,1.5447393960335518,-5.02274222725593,8.112221019323034,0.5858484804945839,linear,23,0.2
GW Stay in 28 Days,Minocycline,0.5471901425770119,-3.403675044691753,4.498055329845777,0.7462351281893432,linear,23,0.2
GW Stay in 28 Days,Piperacillin/Tazobactam,-1.2089406039264723,-5.579693842039152,3.161812634186207,0.5237472990613997,linear,23,0.2
GW Stay in 28 Days,Clinical Improvement,0.8855761890298179,-4.307325144331992,6.078477522391628,0.6909884201065251,linear,23,0.2
GW Stay in 28 Days,Total Hospital stay in 28 days,0.21742704593777049,-0.5235784818246219,0.9584325737001629,0.49975980385088287,linear,23,0.2
GW Stay in 28 Days,Mortality in ICU,2.0178193126573136,-14.662808389883473,18.6984470151981,0.7772093481006604,linear,23,0.2
GW Stay in 28 Days,Mortality in Hospital,9.317453975398209,-8.020489514322069,26.655397465118487,0.2365378716181837,linear,23,0.2
Mortality in ICU,const,-15.144907238538872,,,,logistic,23,0.2
Mortality in ICU,UTI.CRO,-10.647644903411335,,,,logistic,23,0.2
Mortality in ICU,Ventilation,16.72506412258987,,,,logistic,23,0.2
Mortality in ICU,Any Viral Infection,13.124067679226714,,,,logistic,23,0.2
Mortality in ICU,Any Fungal Infection,59.328025588262626,,,,logistic,23,0.2
Mortality in ICU,Hemat Malignancy,5.320613675838799,,,,logistic,23,0.2
Mortality in ICU,Solid Organ,-10.374557844914131,,,,logistic,23,0.2
Mortality in ICU,APACHEII,2.32864174671194,,,,logistic,23,0.2
Mortality in ICU,SOFA,-1.305497338675626,,,,logistic,23,0.2
Mortality in ICU,Lympho,-17.378374100357423,,,,logistic,23,0.2
Mortality in ICU,P/C only.E,16.81778022285286,,,,logistic,23,0.2
Mortality in ICU,Nitrofurantoin,25.743036996986298,,,,logistic,23,0.2
Mortality in ICU,Minocycline,-3.311345286404127,,,,logistic,23,0.2
Mortality in ICU,Clinical Improvement,-6.743868086418991,,,,logistic,23,0.2
Mortality in ICU,GW Stay in 28 Days,-6.640447123391997,,,,logistic,23,0.2
Mortality in ICU,Total Hospital stay in 28 days,-5.312139582445267,,,,logistic,23,0.2
Mortality in Hospital,const,-6.022610767159041,-12.075991584883074,0.030770050564989937,0.05117596936269188,logistic,23,0.2
Mortality in Hospital,GW Stay in 28 Days,0.27382074258418776,-0.09100876807917652,0.638650253247552,0.14128030684055076,logistic,23,0.2
Mortality post 28 Day Discharge,const,13.989439839121092,,,,logistic,23,0.2
Mortality post 28 Day Discharge,Age,-0.570368725629131,,,,logistic,23,0.2
Mortality post 28 Day Discharge,Doxycycline,38.47459438159542,,,,logistic,23,0.2
Mortality post 28 Day Discharge,Piperacillin/Tazobactam,-61.05132292293295,,,,logistic,23,0.2
Overall Mortality,const,-293.8176796544111,,,,logistic,23,0.2
Overall Mortality,Any Fungal Infection,42.24549831686301,,,,logistic,23,0.2
Overall Mortality,APACHEII,-1.0677040505595068,,,,logistic,23,0.2
Overall Mortality,SOFA,8.740255770029764,,,,logistic,23,0.2
Overall Mortality,Calcium,137.73790911379078,,,,logistic,23,0.2
Overall Mortality,P/C+Z-A.T,158.75723445338522,,,,logistic,23,0.2
Overall Mortality,Chloramphenicol,18.80700423040075,,,,logistic,23,0.2
Overall Mortality,Ceftriaxone,2.7087266425275915,,,,logistic,23,0.2
Overall Mortality,Nitrofurantoin,119.64567788047822,,,,logistic,23,0.2
Overall Mortality,Minocycline,-32.38969753593677,,,,logistic,23,0.2
Overall Mortality,Tigecycline,76.81231974777072,,,,logistic,23,0.2
Overall Mortality,Ceftazidime/Avibactam.T,-66.99735256287485,,,,logistic,23,0.2
Relapse post 28 Day Discharge,const,-0.2069018122975566,-3.499487873097828,3.085684248502715,0.9019791488677161,logistic,23,0.2
Relapse post 28 Day Discharge,Trimethoprim/Sulfamethoxazole,-1.4242090183038807,-3.3080470825779735,0.45962904597021215,0.13840381369940497,logistic,23,0.2
Other Illness Leading to Hospitalization post 28 Days Discharge,const,-0.2069018122975566,-3.499487873097828,3.085684248502715,0.9019791488677161,logistic,23,0.2
Other Illness Leading to Hospitalization post 28 Days Discharge,Trimethoprim/Sulfamethoxazole,-1.4242090183038807,-3.3080470825779735,0.45962904597021215,0.13840381369940497,logistic,23,0.2
