outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,sample_size,uni_p_threshold
ICU Stay in 28 Days,const,6.4866970241271185,-7.087142559985007,20.060536608239243,0.33891711843630357,linear,61,0.2
ICU Stay in 28 Days,Weight,0.07865304620153162,-0.06514917616626557,0.2224552685693288,0.2746682776850161,linear,61,0.2
ICU Stay in 28 Days,HTN,1.496175107729736,-1.433745772517166,4.426095987976638,0.3072706670615515,linear,61,0.2
ICU Stay in 28 Days,CRO based IAI,0.23501475359418017,-5.121090879841511,5.591120387029872,0.9295842463617104,linear,61,0.2
ICU Stay in 28 Days,CRO based HAP,0.8011070809284557,-2.422195057643181,4.024409219500092,0.617294020149745,linear,61,0.2
ICU Stay in 28 Days,Surgery in last 3 Months,2.0876151944249544,-0.7503733427477717,4.925603731597681,0.1444479771956456,linear,61,0.2
ICU Stay in 28 Days,Inotropes,3.879986266149249,-1.4766982736269894,9.236670805925488,0.15051743769446943,linear,61,0.2
ICU Stay in 28 Days,Ventilation,3.6926387849907236,-0.7733115574752114,8.158589127456658,0.10222299187453206,linear,61,0.2
ICU Stay in 28 Days,Overall organ support,-2.3728487892123353,-8.474237397415852,3.7285398189911807,0.43543227654598204,linear,61,0.2
ICU Stay in 28 Days,Any Viral Infection,-0.03418653670410492,-3.608639242458035,3.5402661690498256,0.984631546841392,linear,61,0.2
ICU Stay in 28 Days,Any Fungal Infection,0.5731217667069135,-2.749188652796674,3.895432186210501,0.7284820615015726,linear,61,0.2
ICU Stay in 28 Days,APACHEII,-0.1555518109312844,-0.5693897071122853,0.2582860852497166,0.45083969629507104,linear,61,0.2
ICU Stay in 28 Days,SOFA,0.3485681091135526,-0.3527994052361272,1.0499356234632324,0.3202153803502033,linear,61,0.2
ICU Stay in 28 Days,Absolute Neutrophil Count,0.7738431377109279,-2.6310832636763606,4.178769539098217,0.6476227423315759,linear,61,0.2
ICU Stay in 28 Days,Albumin,-0.9188575106059126,-5.697840632095263,3.8601256108834376,0.6988765601480749,linear,61,0.2
ICU Stay in 28 Days,Urea,0.5281800771440237,-2.703941396564331,3.760301550852378,0.7422467729159088,linear,61,0.2
ICU Stay in 28 Days,Empirically given P/C and CAAZ,-2.132567514250574,-8.634374508823168,4.369239480322021,0.5101576608833978,linear,61,0.2
ICU Stay in 28 Days,Aztreonam Resistance,-4.0071598425025385,-7.92480566759329,-0.08951401741178655,0.04524809863137274,linear,61,0.2
ICU Stay in 28 Days,Trimethoprim/Sulfamethoxazole,0.7694210246207852,-0.8312541540994579,2.370096203341028,0.33612783676311675,linear,61,0.2
ICU Stay in 28 Days,CA inclusion in Treatment,4.546303817831704,-2.498631871698503,11.59123950736191,0.19889963441736164,linear,61,0.2
ICU Stay in 28 Days,CAAZ inclusion in Treatment,-2.7350084869343765,-9.2893175872058,3.8193006133370457,0.4029808774259226,linear,61,0.2
ICU Stay in 28 Days,CAAZ Synergy,1.654552042684608,-1.4887749666244283,4.797879051993645,0.2928405689776095,linear,61,0.2
ICU Stay in 28 Days,Polymyxin/Colistin Inclusion.T,0.3613951195548631,-3.3773081182917357,4.100098357401462,0.8456796492908938,linear,61,0.2
ICU Stay in 28 Days,Relapse post 28 Day Discharge,10.972908550641685,-2.0848474762196574,24.03066457750303,0.09694643997753298,linear,61,0.2
ICU Stay in 28 Days,Other Illness Leading to Hospitalization post 28 Days Discharge,-1.6225416766417347,-13.14715296068808,9.902069607404611,0.7768716372371147,linear,61,0.2
GW Stay in 28 Days,const,25.344244597722245,9.645420312270847,41.043068883173646,0.0025548378543280748,linear,62,0.2
GW Stay in 28 Days,Patient ID,-0.02642409034157722,-0.07611721870479417,0.023269038021639734,0.2857541465731387,linear,62,0.2
GW Stay in 28 Days,Age,-0.01939310182320235,-0.1256882099314528,0.08690200628504809,0.7117552450518501,linear,62,0.2
GW Stay in 28 Days,Weight,-0.14232966489908933,-0.2896929106627597,0.005033580864581055,0.05781218747619208,linear,62,0.2
GW Stay in 28 Days,NDM,2.1425468974839057,-0.6453951484138716,4.9304889433816825,0.12685225540342016,linear,62,0.2
GW Stay in 28 Days,HTN,-1.968006650776188,-5.493931545631181,1.5579182440788055,0.26297925177417336,linear,62,0.2
GW Stay in 28 Days,DM,-0.514339935826931,-3.5065210243703717,2.4778411527165094,0.7277068829553232,linear,62,0.2
GW Stay in 28 Days,ABSSSI.CRO,7.506891014926093,-4.711065998068627,19.724848027920814,0.2189198014747421,linear,62,0.2
GW Stay in 28 Days,CV Catheter Now,-11.011441661383298,-20.629483393532215,-1.3933999292343806,0.02628502515995082,linear,62,0.2
GW Stay in 28 Days,Endoscopy in 1 week,-4.481716252294472,-10.707158218036806,1.7437257134478612,0.1516924264178822,linear,62,0.2
GW Stay in 28 Days,Dialysis in 1 week,-0.5024186563178432,-6.145080569041805,5.1402432564061185,0.8567666814669624,linear,62,0.2
GW Stay in 28 Days,Immunosuppressive drugs in 1 week,1.993315984049076,-1.2673000034819344,5.253931971580086,0.2211806329289347,linear,62,0.2
GW Stay in 28 Days,Ventilation,-0.10312192870841072,-3.4472722942038057,3.241028436786984,0.950145260018331,linear,62,0.2
GW Stay in 28 Days,APACHEII,-0.08466613880160892,-0.4292325439335227,0.25990026633030483,0.6190760977101417,linear,62,0.2
GW Stay in 28 Days,SOFA,0.16909718255355427,-0.398312898588092,0.7365072636952006,0.5469321039859985,linear,62,0.2
GW Stay in 28 Days,Platelet,3.100416212624997,0.33900329049738964,5.861829134752604,0.02907445929899013,linear,62,0.2
GW Stay in 28 Days,SGOT,-1.5737988717016513,-4.365748611163007,1.2181508677597046,0.25837464975478036,linear,62,0.2
GW Stay in 28 Days,Total Protein,-0.2562521769564541,-3.8115977172760065,3.299093363363098,0.8838282798619075,linear,62,0.2
GW Stay in 28 Days,ALP,-0.495213192857739,-3.7624172688760193,2.771990883160541,0.7587797495305637,linear,62,0.2
GW Stay in 28 Days,Sodium,-1.4300845430735958,-4.364355689820492,1.5041866036733005,0.3271116247381589,linear,62,0.2
GW Stay in 28 Days,Potassium,3.235242789238934,-0.011029673353843528,6.481515251831712,0.05073307709523822,linear,62,0.2
