outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
ICU Stay in 28 Days,Patient ID,0.0324145216349731,-0.04037617468580499,0.10520521795575119,0.36188043526371405,linear,True
ICU Stay in 28 Days,Age,0.04729414707922538,-0.15846149821237157,0.2530497923708223,0.634981256340419,linear,True
ICU Stay in 28 Days,Male,-1.7000000000000002,-7.783006835771813,4.383006835771813,0.5644034756188729,linear,True
ICU Stay in 28 Days,Female,1.7,-4.3830068357718055,7.783006835771806,0.5644034756188726,linear,True
ICU Stay in 28 Days,Height,-0.14271668281268,-1.2244787744028678,0.9390454087775078,0.7848043500015106,linear,True
ICU Stay in 28 Days,Weight,0.12381342306111137,-0.09813867010881608,0.3457655162310388,0.25648618486828584,linear,True
ICU Stay in 28 Days,NDM,-2.690476190476188,-9.257041841647087,3.876089460694712,0.4006709485646453,linear,True
ICU Stay in 28 Days,CKD,-0.08441558441558444,-1.6487239475043913,1.4798927786732223,0.9109896452136715,linear,True
ICU Stay in 28 Days,HTN,1.7000000000000002,-4.383006835771812,7.783006835771812,0.5644034756188728,linear,True
ICU Stay in 28 Days,DM,-0.9120879120879142,-7.333721000072967,5.509545175897139,0.7688139740729908,linear,True
ICU Stay in 28 Days,COPD,3.8124999999999973,-3.627943719806286,11.25294371980628,0.29591354183600804,linear,True
ICU Stay in 28 Days,Hypothyroidism,1.7222222222222268,-8.477152586015217,11.92159703045967,0.7268973616052562,linear,True
ICU Stay in 28 Days,HAP.CRO,3.8124999999999973,-3.6279437198062885,11.252943719806282,0.29591354183600815,linear,True
ICU Stay in 28 Days,VAP.CRO,0.4666666666666661,-6.620560553119109,7.553893886452441,0.8915094480260409,linear,True
ICU Stay in 28 Days,CAP.CRO,-1.6666666666666696,-8.709467159268343,5.376133825935003,0.6250806492924278,linear,True
ICU Stay in 28 Days,BSI.CRO,-1.6666666666666703,-8.709467159268337,5.376133825934997,0.6250806492924276,linear,True
ICU Stay in 28 Days,Other.CRO,-1.5263157894736814,-15.594402869307999,12.541771290360636,0.8222626084711439,linear,True
ICU Stay in 28 Days,HAP.NCRO,-1.526315789473685,-15.594402869307999,12.541771290360629,0.8222626084711433,linear,True
ICU Stay in 28 Days,Hospitalization in past 6 Months,2.6249999999999964,-3.5063356332338254,8.756335633233817,0.380281007047617,linear,True
ICU Stay in 28 Days,CV Catheter in 6 Months,0.5476190476190421,-6.147250451177765,7.242488546415849,0.8654737341132009,linear,True
ICU Stay in 28 Days,Urinary Catheter in 6 Months,-0.7500000000000044,-7.006598838130023,5.506598838130014,0.8040140913628736,linear,True
ICU Stay in 28 Days,Surgery in last 3 Months,7.690476190476191,2.177586893460668,13.203365487491713,0.008930721937772076,linear,False
ICU Stay in 28 Days,Past CREPA infection,-1.3137254901960795,-9.888175294124409,7.260724313732251,0.7512437487327343,linear,True
ICU Stay in 28 Days,Immunosuppressive drugs in 1 week,6.261904761904762,0.32224392185777706,12.201565601951746,0.039904246264910924,linear,False
ICU Stay in 28 Days,Inotropes,6.300000000000001,1.0104770372232705,11.58952296277673,0.022203044049965093,linear,False
ICU Stay in 28 Days,Ventilation,2.1249999999999996,-5.478758544714765,9.728758544714765,0.564403475618873,linear,True
ICU Stay in 28 Days,Overall organ support,2.1249999999999996,-5.478758544714765,9.728758544714765,0.564403475618873,linear,True
ICU Stay in 28 Days,Neutropenia,-3.277777777777776,-13.383222707305194,6.827667151749641,0.5042607120751522,linear,True
