outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
Clinical Improvement,Patient ID,0.010709507951306603,-0.012698730138360856,0.03411774604097406,0.36987713306291903,ordinal_logistic,False
Clinical Improvement,Age,0.002213704996055948,-0.048820023491941665,0.053247433484053565,0.9322471345496742,ordinal_logistic,False
Clinical Improvement,Male Gender,0.4274396289340008,-1.1657860812872358,2.0206653391552374,0.5990061526844537,ordinal_logistic,False
Clinical Improvement,Female Gender,-0.4273851297950323,-2.020611166851581,1.1658409072615168,0.599052814925563,ordinal_logistic,False
Clinical Improvement,Height,0.09666927495220677,-0.09277504939725097,0.2861135993016645,0.3172492720402571,ordinal_logistic,False
Clinical Improvement,Weight,0.012473457649444485,-0.04268675474420676,0.06763367004309573,0.6576142395210745,ordinal_logistic,False
Clinical Improvement,NDM,0.33835871972815823,-1.3935362332941272,2.0702536727504435,0.7017817835814147,ordinal_logistic,False
Clinical Improvement,OXA48,-0.45526668571264706,-2.1022051456546245,1.1916717742293303,0.5879583622326829,ordinal_logistic,False
Clinical Improvement,P/C in vitro,-0.8414220364655041,-3.602643856153888,1.9197997832228797,0.5503363338807707,ordinal_logistic,False
Clinical Improvement,CAAZ invitro,0.8025228978065853,-0.9023287029958087,2.5073744986089794,0.35620961373784743,ordinal_logistic,False
Clinical Improvement,HTN,0.4552988428057422,-1.19164233875166,2.102240024363144,0.587932613328148,ordinal_logistic,False
Clinical Improvement,DM,-1.0343518512505288,-2.689448165616889,0.6207444631158316,0.22062089182180367,ordinal_logistic,False
Clinical Improvement,COPD,-34.91576802093985,,,,ordinal_logistic,False
Clinical Improvement,Hypothyroidism,2.410760646896284,-0.5643077553399403,5.385829049132508,0.11224109021211878,ordinal_logistic,True
Clinical Improvement,CRO based UTI,-1.4731088115940554,-3.4832518342102325,0.5370342110221218,0.15090683586681047,ordinal_logistic,True
Clinical Improvement,CRO based IAI,0.5799411125631673,-1.0352599600521912,2.1951421851785256,0.4816016114779692,ordinal_logistic,False
Clinical Improvement,CRO based HAP,0.719802415469969,-1.8169407979089942,3.2565456288489325,0.578114494908319,ordinal_logistic,False
Clinical Improvement,CRO based BSI,0.0,-1.9618232833301594,1.9618232833301594,1.0,ordinal_logistic,False
Clinical Improvement,Other CRO Infections,0.6744393329894962,-2.7847055395224833,4.133584205501476,0.7023576991281919,ordinal_logistic,False
Clinical Improvement,Hospitalization in past 6 Months,1.191773793206002,-0.4947744584706797,2.8783220448826836,0.16605892476342243,ordinal_logistic,True
Clinical Improvement,CV Catheter in 6 Months,0.719802415469969,-1.816941048672657,3.2565458796125952,0.5781145324878135,ordinal_logistic,False
Clinical Improvement,Urinary Catheter in 6 Months,0.719802415469969,-1.816941048672657,3.2565458796125952,0.5781145324878135,ordinal_logistic,False
Clinical Improvement,Surgery in last 3 Months,-0.15413734211594815,-1.805074187225712,1.4967995029938155,0.8548064800089152,ordinal_logistic,False
Clinical Improvement,Past CREPA infection,0.7715142643308723,-1.3820211731719632,2.925049701833708,0.4825754125619732,ordinal_logistic,False
Clinical Improvement,Endoscopy in 1 week,-35.578739928853786,,,,ordinal_logistic,False
Clinical Improvement,Immunosuppressive drugs in 1 week,-1.0343518512505288,-2.689448146381376,0.6207444438803187,0.2206208864573982,ordinal_logistic,False
Clinical Improvement,Inotropes,0.4274396289340008,-1.1657860156428348,2.0206652735108364,0.5990061376299872,ordinal_logistic,False
Clinical Improvement,Ventilation,-1.0343518512505288,-2.689448093909327,0.6207443914082698,0.2206208718239785,ordinal_logistic,False
Clinical Improvement,Overall organ support,-0.3277508260812435,-2.034590710089238,1.379089057926751,0.7066520852348069,ordinal_logistic,False
Clinical Improvement,Neutropenia,35.30744008496569,,,,ordinal_logistic,False
Clinical Improvement,Any Viral Infection,0.9807880005610565,-0.7630950158042178,2.724671016926331,0.27032456338958055,ordinal_logistic,False
Clinical Improvement,Any Fungal Infection,-35.32492440747806,,,,ordinal_logistic,False
Clinical Improvement,Hemat Malignancy,-1.6076547851941636,-4.148595969721487,0.9332863993331602,0.2149494248932835,ordinal_logistic,False
Clinical Improvement,Solid Organ,1.4730116537714126,-0.5371097372507054,3.4831330447935307,0.15092938459172653,ordinal_logistic,True
Clinical Improvement,APACHEII,-0.022685935044760006,-0.13459009039449382,0.08921822030497382,0.6911192675577356,ordinal_logistic,False
Clinical Improvement,SOFA,-0.18561733354173532,-0.4068573864937631,0.035622719410292436,0.10009720150140786,ordinal_logistic,True
Clinical Improvement,Haemoglobin,-1.909570135459372,-4.3639802995708665,0.5448400286521229,0.1272882464836524,ordinal_logistic,True
Clinical Improvement,Total Leukocyte Count,-0.18393865213190874,-1.988894343235477,1.6210170389716598,0.8416877055246486,ordinal_logistic,False
Clinical Improvement,Absolute Neutrophil Count,-0.9808154682788723,-2.7247124522440815,0.7630815156863366,0.2703149841509457,ordinal_logistic,False
Clinical Improvement,Absolute Lymphocyte Count,-1.1917198047194386,-2.878238823584475,0.4947992141455979,0.1660707698890267,ordinal_logistic,True
Clinical Improvement,Platelet,-0.2796418969169975,-1.854441552711518,1.2951577588775232,0.7278126355498116,ordinal_logistic,False
Clinical Improvement,Bil,-1.5072959121057399,-3.2305410977882416,0.21594927357676186,0.08646443161160125,ordinal_logistic,True
Clinical Improvement,SGPT,0.32767158280389763,-1.3791568905402447,2.03450005614804,0.7067178559889514,ordinal_logistic,False
Clinical Improvement,SGOT,-0.8592902387723778,-2.4790082004267155,0.7604277228819603,0.29843421089760536,ordinal_logistic,False
Clinical Improvement,Albumin,-3.0924312929748243,-5.7986520951984275,-0.3862104907512216,0.02511205652559638,ordinal_logistic,True
Clinical Improvement,Total Protein,-0.8999887074492587,-2.719521636590961,0.9195442216924437,0.3323209198902153,ordinal_logistic,False
Clinical Improvement,Globulin,0.33835871972815823,-1.393535077248818,2.070252516705134,0.7017815940599708,ordinal_logistic,False
Clinical Improvement,ALP,-1.1917198047194386,-2.878238899399763,0.49479928996088596,0.1660707889276415,ordinal_logistic,True
Clinical Improvement,Creatinine,-1.1917198047194386,-2.878238820192407,0.49479921075352973,0.16607076903721596,ordinal_logistic,True
Clinical Improvement,Sodium,0.8025228978065853,-0.9023253013856638,2.5073710969988343,0.3562086540741688,ordinal_logistic,False
Clinical Improvement,Potassium,-0.5812049113153877,-2.440856539778083,1.2784467171473075,0.5401699838164906,ordinal_logistic,False
Clinical Improvement,Urea,-0.015551794651881178,-0.04169617366162272,0.010592584357860362,0.2436668513340985,ordinal_logistic,False
Clinical Improvement,Calcium,0.0,-1.6018197992453937,1.6018197992453937,1.0,ordinal_logistic,False
