outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
ICU Stay in 28 Days,Patient ID,-0.010426786581481702,-0.0565539805601404,0.035700407397176996,0.6527872339177512,linear,True
ICU Stay in 28 Days,Age,-0.016582878424098595,-0.1318258773109341,0.09866012046273691,0.7744667479308476,linear,True
ICU Stay in 28 Days,Male,-0.045502645502648126,-3.0380370449607517,2.9470317539554554,0.9758367876277945,linear,True
ICU Stay in 28 Days,Female,0.04550264550264449,-2.947031753955458,3.0380370449607472,0.9758367876277964,linear,True
ICU Stay in 28 Days,Height,-0.028719542714826206,-0.1437086848505461,0.08626959942089368,0.6191896617525733,linear,True
ICU Stay in 28 Days,Weight,0.13493036580652934,0.00034230368070028994,0.26951842793235836,0.04943843294722072,linear,False
ICU Stay in 28 Days,KPC,-6.14754098360656,-17.818661917190934,5.523579949977814,0.2962820422874013,linear,True
ICU Stay in 28 Days,NDM,1.3418803418803436,-1.6449961557789903,4.328756839539677,0.3724307314753769,linear,True
ICU Stay in 28 Days,OXA48,2.208333333333334,-2.1808266518511346,6.597493318517802,0.3182567258719239,linear,True
ICU Stay in 28 Days,P/C in vitro,0.30000000000000115,-3.733449627127188,4.333449627127191,0.8822275793470754,linear,True
ICU Stay in 28 Days,Z-A invitro,-0.07619047619047359,-3.2502160143644048,3.0978350619834574,0.9618630562903111,linear,True
ICU Stay in 28 Days,CKD,-2.0819672131147557,-13.84828523119015,9.684350804960637,0.7246256535010359,linear,True
ICU Stay in 28 Days,HTN,2.2312500000000006,-0.6813905178176083,5.14389051781761,0.13069395347751867,linear,False
ICU Stay in 28 Days,DM,-0.6386363636363644,-3.7353572268319253,2.458084499559196,0.6814277915703726,linear,True
ICU Stay in 28 Days,COPD,1.2844827586206895,-4.746088496966786,7.315054014208165,0.6715931871185787,linear,True
ICU Stay in 28 Days,Hypothyroidism,0.4254317111459974,-3.217837985869476,4.068701408161471,0.8161071866120949,linear,True
ICU Stay in 28 Days,UTI.CRO,-1.9376114081996423,-5.789226143181295,1.9140033267820102,0.31832233645789015,linear,True
ICU Stay in 28 Days,IAI.CRO,-3.3749999999999996,-8.317414582296188,1.567414582296188,0.1770584642804291,linear,False
ICU Stay in 28 Days,ABSSSI.CRO,0.9672131147540981,-10.808733256847361,12.743159486355559,0.8700521311628339,linear,True
ICU Stay in 28 Days,HAP.CRO,3.924242424242424,0.816434566689975,7.032050281794873,0.014202331747013231,linear,False
ICU Stay in 28 Days,VAP.CRO,-4.114754098360661,-15.84532166034892,7.615813463627598,0.48561126129295823,linear,True
ICU Stay in 28 Days,CAP.CRO,-1.387931034482758,-7.41697355708666,4.641111488121144,0.6468337460153407,linear,True
ICU Stay in 28 Days,BSI.CRO,-0.14945652173913182,-3.5401721168055618,3.2412590733272983,0.9300356169008916,linear,True
ICU Stay in 28 Days,Other.CRO,-1.0207792207792186,-5.701799426263445,3.6602409847050086,0.6642569524104356,linear,True
ICU Stay in 28 Days,Other.NCRO,-4.114754098360659,-15.845321660348922,7.615813463627606,0.4856112612929588,linear,True
ICU Stay in 28 Days,Hospitalization in past 6 Months,-0.5520833333333313,-3.5177445229574538,2.4135778562907912,0.7109275045994016,linear,True
ICU Stay in 28 Days,CV Catheter in 6 Months,-0.8324420677361861,-4.710468464308407,3.0455843288360356,0.6691874683133668,linear,True
ICU Stay in 28 Days,CV Catheter Now,5.131147540983629,-6.572677922271951,16.83497300423921,0.38400453271165413,linear,True
ICU Stay in 28 Days,Urinary Catheter in 6 Months,-1.120261437908497,-4.4336981075005895,2.193175231683595,0.501452916170247,linear,True
ICU Stay in 28 Days,Surgery in last 3 Months,2.7083333333333353,-0.2565096667840301,5.673176333450701,0.07263842020889703,linear,False
ICU Stay in 28 Days,Past CREPA infection,-1.6418604651162763,-4.750036734969413,1.4663158047368607,0.29491382002219707,linear,True
ICU Stay in 28 Days,Endoscopy in 1 week,3.6896551724138,-2.2744017376110834,9.653712082438684,0.22072947563640483,linear,True
ICU Stay in 28 Days,Dialysis in 1 week,-1.1607142857142874,-6.1704267675169975,3.8489981960884228,0.6447154075852092,linear,True
ICU Stay in 28 Days,Immunosuppressive drugs in 1 week,1.7567567567567544,-1.2337654239543179,4.747278937467827,0.24461374543771397,linear,True
ICU Stay in 28 Days,Inotropes,2.447619047619048,-0.4774265901751429,5.3726646854132385,0.09937422325880173,linear,False
ICU Stay in 28 Days,Ventilation,4.1239316239316235,1.3119243938794969,6.93593885398375,0.004740783965328959,linear,False
ICU Stay in 28 Days,Overall organ support,3.1820652173913047,-0.10779873849518395,6.471929173277793,0.057739039692607845,linear,False
ICU Stay in 28 Days,Neutropenia,-1.575438596491228,-7.0094707396985605,3.8585935467161043,0.5641347808649309,linear,True
ICU Stay in 28 Days,Any Viral Infection,2.206854345165235,-0.9607429037795372,5.374451594110007,0.16857899916474167,linear,False
ICU Stay in 28 Days,Any Fungal Infection,3.7655555555555544,1.1629642375165048,6.368146873594604,0.005306137265657893,linear,False
ICU Stay in 28 Days,Hemat Malignancy,0.2307692307692334,-3.4136693362053796,3.8752077977438466,0.8996324523841459,linear,True
ICU Stay in 28 Days,Solid Organ,-0.0297619047619041,-3.578490193934794,3.5189663844109855,0.9866711551849101,linear,True
ICU Stay in 28 Days,APACHEII,0.15907061243027784,-0.04464462371163988,0.36278584857219554,0.12356437874109946,linear,False
ICU Stay in 28 Days,SOFA,0.33683135401437936,-0.06555928844964942,0.7392219964784081,0.09925743047984509,linear,False
ICU Stay in 28 Days,Hb,3.2586206896551637,-2.722156633903551,9.23939801321388,0.28013252162316904,linear,True
ICU Stay in 28 Days,TLC,0.5502702702702662,-2.4711264227680365,3.5716669633085685,0.7169123908963625,linear,True
ICU Stay in 28 Days,ANC,2.645833333333333,-0.8365073930944562,6.128174059761122,0.13381422243499425,linear,False
ICU Stay in 28 Days,Lympho,-1.5275675675675726,-4.526470695107608,1.4713355599724627,0.31234019412621594,linear,True
ICU Stay in 28 Days,Platelet,1.2756410256410247,-1.7131703618589045,4.264452413140954,0.39664583728401803,linear,True
ICU Stay in 28 Days,INR,5.131147540983628,-6.572677922271932,16.83497300423919,0.38400453271165325,linear,True
ICU Stay in 28 Days,Bil,-1.7105263157894726,-4.724547910967848,1.303495279388903,0.26079991821633014,linear,True
ICU Stay in 28 Days,SGPT,-1.086486486486489,-4.098182052453414,1.925209079480436,0.4733316228024281,linear,True
ICU Stay in 28 Days,SGOT,-0.0078037904124868,-3.0793856116773277,3.0637780308523537,0.9959619949779036,linear,True
ICU Stay in 28 Days,Albumin,3.3564814814814823,-0.9838698546293121,7.696832817592277,0.1271531424590956,linear,False
ICU Stay in 28 Days,Total Protein,2.299843014128728,-1.2963717000381516,5.896057728295608,0.2057426563822446,linear,True
ICU Stay in 28 Days,Globulin,-0.3385620915032661,-3.663454465705682,2.98633028269915,0.83929025360135,linear,True
ICU Stay in 28 Days,ALP,-1.1400208986415883,-4.099148777505809,1.8191069802226323,0.443952526895537,linear,True
ICU Stay in 28 Days,Creatinine,-1.892543859649126,-4.899301530037281,1.1142138107390291,0.21288953350817955,linear,True
ICU Stay in 28 Days,Sodium,0.9204545454545476,-2.1715317690488196,4.012440859957914,0.5537692599361324,linear,True
ICU Stay in 28 Days,Potassium,-0.958169934640523,-4.27499507181728,2.3586552025362333,0.5655282548778546,linear,True
ICU Stay in 28 Days,Urea,2.662280701754386,-0.30534253135948886,5.629903934868262,0.07777384005552149,linear,False
ICU Stay in 28 Days,Calcium,-0.2772727272727303,-3.377555256196815,2.823009801651354,0.8586221126279944,linear,True
ICU Stay in 28 Days,Magnesium,0.4181818181818185,-2.6810465947408826,3.5174102311045194,0.7881617371488608,linear,True
ICU Stay in 28 Days,Procalcitonin,-1.8166666666666687,-5.542880733830579,1.909547400497242,0.33336724786215527,linear,True
ICU Stay in 28 Days,P/C+Z-A.E,4.928571428571429,0.07396608947427374,9.783176767668584,0.04671625049883143,linear,False
ICU Stay in 28 Days,P/C only.E,-1.4000000000000001,-4.553429822671807,1.7534298226718066,0.3780578161601376,linear,True
ICU Stay in 28 Days,Z-A only.E,-3.0982456140350845,-8.488430156918042,2.2919389288478724,0.25480541650772587,linear,True
ICU Stay in 28 Days,Neither Abx.E,-2.4701298701298677,-7.114970693714473,2.1747109534547375,0.29170002162324776,linear,True
ICU Stay in 28 Days,P/C+Z-A.T,1.730769230769232,-2.278589079348186,5.7401275408866494,0.3913050398869274,linear,True
ICU Stay in 28 Days,P/C only.T,0.31547619047619024,-4.702533981634559,5.333486362586941,0.9003452840628801,linear,True
ICU Stay in 28 Days,Z-A only.T,0.7704545454545444,-2.3242657159357583,3.8651748068448475,0.6203118009573301,linear,True
ICU Stay in 28 Days,Neither Abx.T,-2.6388888888888906,-7.012165772996241,1.73438799521846,0.232167584820212,linear,True
ICU Stay in 28 Days,Amoxicillin/Clavulanic Acid,-0.32777777777777173,-3.125778938478583,2.4702233829230393,0.8155272587210042,linear,True
ICU Stay in 28 Days,Amikacin,-0.27820224719100817,-2.227142529181984,1.6707380347999676,0.7762190153778433,linear,True
ICU Stay in 28 Days,Aztreonam,-2.878606965174124,-5.683630976939822,-0.07358295340842558,0.04446344794504664,linear,False
ICU Stay in 28 Days,Chloramphenicol,0.3939501149831935,-0.8253553014306745,1.6132555313970613,0.5205599227951507,linear,True
ICU Stay in 28 Days,Ciprofloxacin,-0.12740384615383904,-3.316544186860179,3.0617364945525005,0.9365744183439668,linear,True
ICU Stay in 28 Days,Colistin,-1.297963558413721,-4.290994595672252,1.6950674788448101,0.38915000995670274,linear,True
ICU Stay in 28 Days,Doxycycline,-0.5089485458612992,-2.6805529417703857,1.6626558500477875,0.6409113211073578,linear,True
ICU Stay in 28 Days,Ertapenem,0.20923076923077502,-2.3416451004285643,2.760106638890114,0.8702269834370348,linear,True
ICU Stay in 28 Days,Cefepime,-0.9999999999999852,-4.917696595977217,2.917696595977247,0.6115185974518575,linear,True
ICU Stay in 28 Days,Fosfomycin,0.43946072076743486,-1.0374534379736373,1.916374879508507,0.5539512573991139,linear,True
ICU Stay in 28 Days,Cefoxitin,-0.33333333333332854,-2.636617061434236,1.969950394767579,0.7732082916416136,linear,True
ICU Stay in 28 Days,Gentamicin,-0.6940999624201423,-2.468416806105349,1.0802168812650648,0.43699701959753157,linear,True
ICU Stay in 28 Days,Imipenem,-0.9999999999999852,-4.917696595977217,2.917696595977247,0.6115185974518575,linear,True
ICU Stay in 28 Days,Levofloxacin,-0.5364916773367399,-3.8253707640075967,2.752387409334117,0.7453369740430121,linear,True
ICU Stay in 28 Days,Meropenem,-0.9999999999999852,-4.917696595977217,2.917696595977247,0.6115185974518575,linear,True
