outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
Mortality in Hospital,Patient ID,0.0656632509957943,-0.014281240261618477,0.14560774225320708,0.1074334260608085,logistic,False
Mortality in Hospital,Age,-0.10120147390111621,-0.2393407274790414,0.03693777967680899,0.1510367941215136,logistic,False
Mortality in Hospital,Male,-1.3862934398686801,-4.561797593316581,1.7892107135792206,0.3921974880476572,logistic,True
Mortality in Hospital,Female,1.3862982450681687,-1.789204054744433,4.561800544880771,0.3921955706926479,logistic,True
Mortality in Hospital,Height,-0.13027136978736997,-0.5377309708563289,0.2771882312815889,0.5309005383241989,logistic,True
Mortality in Hospital,Weight,-0.06890064338570057,-0.18671818928510742,0.04891690251370627,0.2517113249371209,logistic,True
Mortality in Hospital,VIM,-11.433769382951331,-984.2830391997296,961.4155004338269,0.9816221959200618,logistic,True
Mortality in Hospital,NDM,-1.386293210856236,-4.1580997276933855,1.3855133059809137,0.3269589141065634,logistic,True
Mortality in Hospital,P/C in vitro,-11.433769382951308,-984.2830391997182,961.4155004338157,0.9816221959200616,logistic,True
Mortality in Hospital,Z-A invitro,-14.428052740902489,-2890.0310063821144,2861.1749009003097,0.9921537895434962,logistic,True
Mortality in Hospital,CKD,-11.43376938295145,-984.2830391997875,961.4155004338845,0.9816221959200627,logistic,True
Mortality in Hospital,HTN,-1.9459089111552552,-4.8150015517966995,0.9231837294861893,0.18374596414725097,logistic,False
Mortality in Hospital,DM,-14.402732362135659,-2160.8799692946304,2132.074504570359,0.9895071313341514,logistic,True
Mortality in Hospital,COPD,-11.433769382951416,-984.283039199771,961.4155004338683,0.9816221959200625,logistic,True
Mortality in Hospital,Hypothyroidism,1.3862982450681687,-1.789204054744433,4.561800544880771,0.3921955706926479,logistic,True
Mortality in Hospital,UTI.CRO,1.3862982450681687,-1.789204054744433,4.561800544880771,0.3921955706926479,logistic,True
Mortality in Hospital,IAI.CRO,-11.4337693829514,-984.2830391997633,961.4155004338605,0.9816221959200624,logistic,True
Mortality in Hospital,HAP.CRO,2.772571653838815,-0.4029240987773002,5.94806740645493,0.08703070244416368,logistic,False
Mortality in Hospital,VAP.CRO,-14.402732362135755,-2160.8799692947337,2132.074504570462,0.9895071313341518,logistic,True
Mortality in Hospital,CAP.CRO,-11.433769382951414,-984.2830391997701,961.4155004338674,0.9816221959200624,logistic,True
Mortality in Hospital,BSI.CRO,-11.43376938295145,-984.2830391997875,961.4155004338845,0.9816221959200627,logistic,True
Mortality in Hospital,Other.CRO,-11.433769382951416,-984.283039199771,961.4155004338683,0.9816221959200625,logistic,True
Mortality in Hospital,Hospitalization in past 6 Months,1.3863020940577275,-1.3854899118492665,4.158094099964721,0.3269532817550618,logistic,True
Mortality in Hospital,CV Catheter in 6 Months,15.042797239170868,-1691.6158563699212,1721.7014508482628,0.9862168499053501,logistic,True
Mortality in Hospital,Urinary Catheter in 6 Months,15.042797239170868,-1691.6158563699212,1721.7014508482628,0.9862168499053501,logistic,True
Mortality in Hospital,Surgery in last 3 Months,5.1032244235266026e-05,-2.771733098173513,2.7718351626619837,0.9999712078950879,logistic,True
Mortality in Hospital,Past CREPA infection,-14.428052740902507,-2890.0310063821394,2861.1749009003347,0.9921537895434963,logistic,True
Mortality in Hospital,Endoscopy in 1 week,-11.43376938295145,-984.2830391997875,961.4155004338845,0.9816221959200627,logistic,True
Mortality in Hospital,Immunosuppressive drugs in 1 week,-0.4701313098328502,-3.2071158051681277,2.266853185502427,0.7363712272354321,logistic,True
Mortality in Hospital,Inotropes ,0.4700376807748036,-2.266893591385963,3.2069689529355703,0.7364168420941314,logistic,True
Mortality in Hospital,Ventilation,14.063622376202906,-1418.1566673198383,1446.283912072244,0.9846450390108054,logistic,True
Mortality in Hospital,Overall organ support,13.649640371847255,-1934.875411212158,1962.1746919558525,0.9890455715392078,logistic,True
Mortality in Hospital,Neutropenia,-14.428052740902427,-2890.0310063820248,2861.17490090022,0.992153789543496,logistic,True
Mortality in Hospital,Any Viral Infection,0.4700376807748038,-2.2668935913859625,3.20696895293557,0.7364168420941313,logistic,True
Mortality in Hospital,Any Fungal Infection,-16.05084342938048,-3110.72808022234,3078.6263933635787,0.991889209746452,logistic,True
Mortality in Hospital,Hemat Malignancy,5.1032244235135055e-05,-2.7717330981735135,2.771835162661984,0.999971207895088,logistic,True
Mortality in Hospital,Solid Organ,0.47003768077480346,-2.266893591385963,3.2069689529355703,0.7364168420941315,logistic,True
Mortality in Hospital,APACHEII,0.15662719384193036,-0.0991872851279188,0.4124416728117795,0.23012980009674677,logistic,True
Mortality in Hospital,SOFA,0.1633845265604693,-0.22402879831175343,0.5507978514326921,0.40847562310103147,logistic,True
Mortality in Hospital,TLC,-16.860043664488014,-3683.602517761466,3649.8824304324903,0.9928094756795104,logistic,True
Mortality in Hospital,ANC,9.809874409846613e-06,-2.7717943421358644,2.7718139618846838,0.99999446536406,logistic,True
Mortality in Hospital,Lympho,-1.3862934398686804,-4.561797593316579,1.7892107135792186,0.39219748804765686,logistic,True
Mortality in Hospital,Platelet,0.9163122104865155,-1.8206128524207061,3.653237273393737,0.5117028050692469,logistic,True
Mortality in Hospital,Bil,0.5596170325238413,-2.3094745196990476,3.42870858474673,0.7022451805642747,logistic,True
Mortality in Hospital,SGPT,0.9163122104865156,-1.820612852420706,3.653237273393737,0.5117028050692469,logistic,True
Mortality in Hospital,SGOT,-1.3862932108562362,-4.158099727693386,1.3855133059809135,0.3269589141065633,logistic,True
Mortality in Hospital,Albumin,-1.38629343986868,-4.561797593316578,1.789210713579219,0.39219748804765686,logistic,True
Mortality in Hospital,Total Protein,-1.38629343986868,-4.561797593316578,1.789210713579219,0.39219748804765686,logistic,True
Mortality in Hospital,Globulin,9.809874410063942e-06,-2.771794342135864,2.771813961884684,0.9999944653640599,logistic,True
Mortality in Hospital,ALP,1.9459084858979598,-0.9231837009487331,4.815000672744652,0.18374599061351105,logistic,False
Mortality in Hospital,Creatinine,13.695412695975993,-3000.4231071902277,3027.8139325821794,0.992894458010293,logistic,True
Mortality in Hospital,Sodium,-1.3862932108562365,-4.158099727693386,1.3855133059809133,0.3269589141065632,logistic,True
Mortality in Hospital,Potassium,5.103224423479158e-05,-2.7717330981735144,2.771835162661984,0.9999712078950882,logistic,True
Mortality in Hospital,Urea,9.809874409913509e-06,-2.771794342135864,2.771813961884684,0.99999446536406,logistic,True
Mortality in Hospital,Calcium,-1.3862932108562362,-4.158099727693386,1.3855133059809135,0.3269589141065633,logistic,True
Mortality in Hospital,Magnesium,1.3863020940577275,-1.3854899118492665,4.158094099964721,0.3269532817550618,logistic,True
Mortality in Hospital,P/C+Z-A.E,-11.433769382951455,-984.2830391997902,961.4155004338872,0.9816221959200627,logistic,True
Mortality in Hospital,P/C only.E,5.1032244234883086e-05,-2.7717330981735144,2.771835162661984,0.9999712078950881,logistic,True
Mortality in Hospital,Z-A only.E,-11.433769382951331,-984.2830391997296,961.4155004338269,0.9816221959200618,logistic,True
Mortality in Hospital,P/C+Z-A.T,-14.428052740902489,-2890.0310063821144,2861.1749009003097,0.9921537895434962,logistic,True
Mortality in Hospital,P/C only.T,1.3863020940577275,-1.3854899118492665,4.158094099964721,0.3269532817550618,logistic,True
Mortality in Hospital,Z-A only.T,-14.42805274090236,-2890.0310063819275,2861.174900900123,0.9921537895434958,logistic,True
Mortality in Hospital,Amikacin,-0.45813754375010785,-1.8266076396542534,0.9103325521540377,0.5117222415200016,logistic,True
Mortality in Hospital,Aztreonam,-2.413869070602437,-5.292991248132852,0.4652531069279777,0.10033273267683128,logistic,False
Mortality in Hospital,Ciprofloxacin,-1.2104027399440962,-2.9150679079233335,0.4942624280351413,0.1640197911680238,logistic,False
Mortality in Hospital,Colistin,-9.830834558578665,-446.3283627283729,426.6666936112156,0.964790834792011,logistic,True
Mortality in Hospital,Cefepime,-1.3024400700593206,-2.920965189834531,0.3160850497158896,0.1147498241853986,logistic,False
Mortality in Hospital,Gentamicin,-11.433769382951416,-984.283039199771,961.4155004338683,0.9816221959200625,logistic,True
Mortality in Hospital,Imipenem,-9.099371035482806,-4143.524144082934,4125.325402011969,0.9965582201665918,logistic,True
